"s"	"ADC 0"	"ADC 1"
-0.00280000	0.004425	0.004266
-0.00260000	0.004457	0.004158
-0.00240000	0.004476	0.004069
-0.00220000	0.004304	0.003923
-0.00200000	0.004698	0.004209
-0.00180000	0.004520	0.004171
-0.00160000	0.004311	0.004253
-0.00140000	0.004431	0.004183
-0.00120000	0.004539	0.003885
-0.00100000	0.004260	0.004260
-0.00080000	0.004419	0.004088
-0.00060000	0.004597	0.004304
-0.00040000	0.004476	0.004171
-0.00020000	0.004476	0.004005
-0.00000000	0.004781	0.002429
0.00020000	0.003681	0.005601
0.00040000	-0.607815	-0.363115
0.00060000	-2.496363	-2.941106
0.00080000	-2.497902	-3.000577
0.00100000	-2.497857	-2.592824
0.00120000	-2.497845	-1.787141
0.00140000	-2.497838	-0.112387
0.00160000	-2.497622	0.582225
0.00180000	-2.497851	0.654462
0.00200000	-2.497800	0.567093
0.00220000	-2.497749	0.504265
0.00240000	-2.497711	0.480264
0.00260000	-2.497762	0.472368
0.00280000	-2.497851	0.465953
0.00300000	-2.497743	0.457776
0.00320000	-2.468541	0.448201
0.00340000	-2.435061	0.438773
0.00360000	-2.405923	0.429160
0.00380000	-2.380460	0.419655
0.00400000	-2.358487	0.410557
0.00420000	-2.235406	0.401363
0.00440000	-2.066091	0.392024
0.00460000	-1.894506	0.383123
0.00480000	-1.722685	0.373834
0.00500000	-1.548888	0.365130
0.00520000	-1.377640	0.356490
0.00540000	-1.218363	0.347576
0.00560000	-1.079292	0.339139
0.00580000	-0.964019	0.330315
0.00600000	-0.871449	0.321751
0.00620000	-0.798594	0.313460
0.00640000	-0.741100	0.305227
0.00660000	-0.697002	0.296955
0.00680000	-0.665620	0.288830
0.00700000	-0.645084	0.281124
0.00720000	-0.632032	0.273158
0.00740000	-0.622711	0.265573
0.00760000	-0.606906	0.257861
0.00780000	-0.578594	0.250454
0.00800000	-0.544421	0.242831
0.00820000	-0.503222	0.235570
0.00840000	-0.455971	0.228424
0.00860000	-0.400276	0.221367
0.00880000	-0.338980	0.214297
0.00900000	-0.277182	0.207551
0.00920000	-0.216935	0.200812
0.00940000	-0.158348	0.194022
0.00960000	-0.101535	0.187556
0.00980000	-0.046031	0.181109
0.01000000	0.008500	0.174815
0.01020000	0.061989	0.168514
0.01040000	0.114460	0.162716
0.01060000	0.165552	0.156860
0.01080000	0.215664	0.150897
0.01100000	0.264988	0.145149
0.01120000	0.313282	0.139548
0.01140000	0.360959	0.134080
0.01160000	0.407486	0.128524
0.01180000	0.453250	0.123355
0.01200000	0.497882	0.118300
0.01220000	0.541407	0.113144
0.01240000	0.584068	0.108058
0.01260000	0.625801	0.103277
0.01280000	0.666332	0.098381
0.01300000	0.706164	0.094007
0.01320000	0.744940	0.089372
0.01340000	0.783424	0.084991
0.01360000	0.826988	0.080522
0.01380000	0.883509	0.076440
0.01400000	0.952231	0.072225
0.01420000	1.029371	0.068309
0.01440000	1.123473	0.064398
0.01460000	1.250966	0.060571
0.01480000	1.410923	0.056928
0.01500000	1.587537	0.053291
0.01520000	1.770891	0.049585
0.01540000	1.952744	0.046247
0.01560000	2.123769	0.042985
0.01580000	2.268162	0.039845
0.01600000	2.386958	0.036443
0.01620000	2.469018	0.033512
0.01640000	2.492154	0.030505
0.01660000	2.502111	0.027504
0.01680000	2.502003	0.024776
0.01700000	2.502213	0.022170
0.01720000	2.502003	0.019175
0.01740000	2.502200	0.016715
0.01760000	2.502193	0.014661
0.01780000	2.502225	0.012232
0.01800000	2.502035	0.009937
0.01820000	2.502041	0.007407
0.01840000	2.502003	0.005061
0.01860000	2.502149	0.003134
0.01880000	2.502181	0.001208
0.01900000	2.502155	-0.000687
0.01920000	2.502092	-0.002619
0.01940000	2.501729	-0.004304
0.01960000	2.493763	-0.006231
0.01980000	2.485956	-0.007769
0.02000000	2.478326	-0.009346
0.02020000	2.470945	-0.011139
0.02040000	2.463506	-0.012493
