time,Node01.ax,Node01.ay,Node01.az,Node01.mx,Node01.my,Node01.mz,Node01.gx,Node01.gy,Node01.gz,Node02.ax,Node02.ay,Node02.az,Node02.mx,Node02.my,Node02.mz,Node02.gx,Node02.gy,Node02.gz
1.03,0.940248,-0.097674,0.184922,41.951172,-6.379522,16.085634,0.215651,-0.21832,-0.021736,0.933272,-0.136101,0.144414,45.008293,1.677214,-2.452266,0.820603,-0.012315,0.168683
1.04,0.940631,-0.099919,0.182658,42.024605,-6.379522,15.858689,0.63169,-0.009324,0.117073,0.934391,-0.136101,0.144994,45.306889,1.677214,-2.608358,0.698365,-0.012769,0.046514
1.05,0.942163,-0.101603,0.181149,42.024605,-6.379522,15.858689,0.977233,0.060679,0.324851,0.935883,-0.136674,0.145573,45.306889,1.677214,-2.608358,0.454637,-0.012938,-0.136387
1.06,0.944269,-0.10179,0.178697,41.951172,-6.2108,16.085634,1.113822,-0.008309,0.323817,0.936816,-0.137246,0.146152,45.456188,1.594291,-2.37422,0.211371,-0.012823,-0.196969
1.07,0.943503,-0.100293,0.177942,41.951172,-6.2108,16.085634,1.11169,-0.286135,0.114448,0.937002,-0.137819,0.145766,45.456188,1.594291,-2.37422,0.27287,0.048551,-0.135599
1.08,0.94312,-0.098422,0.178508,42.391766,-6.2108,16.085634,0.762271,-0.355545,0.044568,0.937002,-0.136865,0.145959,45.306889,1.594291,-2.37422,0.272931,-0.01203,-0.135086
1.09,0.944269,-0.096364,0.180206,42.391766,-6.2108,16.085634,0.344222,-0.355391,0.114057,0.935696,-0.13572,0.146345,45.306889,1.594291,-2.37422,0.333508,0.049248,-0.012622
1.1,0.944077,-0.096551,0.180772,42.171467,-6.463882,15.783042,0.065836,-0.424524,-0.025149,0.934204,-0.136101,0.147697,45.232239,1.096755,-2.296174,0.332996,-0.072405,0.109357
1.11,0.942929,-0.098235,0.180395,42.171467,-6.463882,15.783042,0.205105,-0.215398,-0.164593,0.932712,-0.136483,0.148469,45.232239,1.096755,-2.296174,0.454782,-0.133082,0.109382
1.12,0.942929,-0.101041,0.178885,42.098034,-6.295161,15.707394,0.553598,-0.075839,0.044028,0.932899,-0.137055,0.1504,45.082939,1.511369,-2.37422,0.515478,-0.255017,0.170383
1.13,0.94312,-0.101603,0.176999,42.098034,-6.295161,15.707394,0.901424,-0.075135,0.183084,0.932712,-0.1382,0.153296,45.082939,1.511369,-2.37422,0.393245,-0.438118,0.109431
1.14,0.944461,-0.102725,0.174547,42.024605,-6.2108,16.009985,1.457946,0.204103,0.391823,0.931593,-0.13801,0.152138,45.082939,1.84306,-2.452266,-0.095187,-0.316616,0.170192
1.15,0.945801,-0.103287,0.172283,42.024605,-6.2108,16.009985,1.736207,0.204801,0.322183,0.937002,-0.146787,0.146924,45.082939,1.84306,-2.452266,-0.76632,-0.073067,0.291929
1.16,0.945226,-0.103661,0.167945,42.171467,-6.379522,15.858689,1.736207,0.066366,0.182742,0.938494,-0.133812,0.152717,45.157589,1.925982,-2.218128,-1.681584,0.231273,0.474764
1.17,0.942929,-0.10497,0.165493,42.171467,-6.379522,15.858689,1.388381,0.066785,-0.234959,0.925998,-0.12408,0.157351,45.157589,1.925982,-2.218128,-1.377202,0.108965,0.231004
1.18,0.942163,-0.105158,0.164361,42.318333,-6.295161,16.161282,1.040555,0.066791,-0.37428,0.918724,-0.114539,0.157158,45.306889,1.345523,-2.452266,0.817455,-0.500874,0.474935
1.19,0.941397,-0.105158,0.163984,42.318333,-6.295161,16.161282,0.762294,-0.280482,-0.582931,0.92003,-0.11015,0.154262,45.306889,1.345523,-2.452266,2.829681,-1.354432,1.877899
1.2,0.94178,-0.105906,0.16304,42.098034,-6.295161,15.783042,0.553598,-0.27993,-0.722017,0.926185,-0.123698,0.156579,45.381538,1.511369,-2.140082,2.219915,-2.025154,2.488166
1.21,0.944652,-0.107964,0.157759,42.098034,-6.295161,15.783042,0.484033,-0.140523,-0.861337,0.951363,-0.160526,0.165461,45.381538,1.511369,-2.140082,-1.194771,-2.87862,2.549523
1.22,0.951354,-0.110396,0.151345,42.2449,-6.295161,16.009985,0.623163,0.068311,-0.791962,0.974863,-0.174074,0.183997,45.157589,1.511369,-2.686404,-3.511879,-3.610338,3.281242
1.23,0.951354,-0.109648,0.144932,42.2449,-6.295161,16.009985,0.692729,-0.000843,-1.070412,0.958637,-0.157282,0.220104,45.157589,1.511369,-2.686404,-4.121645,-2.69569,1.390969
1.24,0.950205,-0.105719,0.146064,42.024605,-6.295161,16.161282,0.066642,0.138834,-1.209497,0.945208,-0.137437,0.247136,45.456188,1.594291,-2.452266,-1.133794,-0.805417,1.02511
1.25,0.948099,-0.098609,0.150968,42.024605,-6.295161,16.161282,-1.255098,0.487068,-1.209568,0.930661,-0.113967,0.24675,45.456188,1.594291,-2.452266,4.78093,-1.049324,0.232415
1.26,0.94695,-0.09019,0.159645,42.171467,-6.2108,16.085634,-1.463793,0.626605,-1.557233,0.913129,-0.09851,0.23111,45.381538,1.428446,-2.76445,6.36632,-2.085925,-1.474928
1.27,0.945035,-0.084389,0.166624,42.171467,-6.2108,16.085634,-1.394228,0.488422,-2.252724,0.905855,-0.100228,0.204078,45.381538,1.428446,-2.76445,8.012687,-3.000573,-1.231022
1.28,0.944652,-0.081583,0.173038,42.098034,-6.295161,16.009985,-1.463793,0.141134,-2.461491,0.916113,-0.118737,0.172605,45.605488,1.2626,-2.686404,8.988312,-3.488385,0.232415
1.29,0.945609,-0.082144,0.176433,42.098034,-6.295161,16.009985,-1.394228,-0.136726,-2.252796,0.934764,-0.135529,0.146731,45.605488,1.2626,-2.686404,7.707804,-3.366432,-0.072468
1.3,0.945418,-0.088506,0.17417,42.391766,-6.042079,16.236929,-0.211619,-0.553448,-1.626709,0.951736,-0.139345,0.12723,45.456188,1.511369,-2.37422,6.793156,-3.000573,-0.865163
